title,price,area,rooms,url,city,address,district
Zielony Winów Opole,no price,,unknown number of rooms,https://www.otodom.pl/pl/oferta/zielony-winow-opole-ID4w5Uo,Opole,ul. Księdza Alojzego Ligudy ,Winów
"Mieszkanie 37,83m2 Metalchem",379000,37.83,2,https://www.otodom.pl/pl/oferta/mieszkanie-37-83m2-metalchem-ID4x2Kb,Opole,no address,Grotowice
Mieszkanie 2 pokoje 37m2 Opole 1 Maja,420000,37,2,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-37m2-opole-1-maja-ID4vPrm,Opole,no address,Stare Miasto
Atlantis Prestige Park,no price,,unknown number of rooms,https://www.otodom.pl/pl/oferta/atlantis-prestige-park-ID4qMtM,Opole,ul. Pomorska/Zielonogórska ,Kolonia Gosławicka
"Mieszkanie 2-pokojowe, Osiedle AK (nowy ZWM)",529000,47.85,2,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-osiedle-ak-nowy-zwm-ID4vKd1,Opole,ul. Dąbrowszczaków ,Armii Krajowej
Przestronne 3-pokojowe mieszkanie z balkonem,820000,67.22,3,https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-z-balkonem-ID4x2z7,Opole,ul. Katowicka ,Śródmieście
"NOWE, 44m2,dobra lokalizacja, NOWA CENA!",510000,44,2,https://www.otodom.pl/pl/oferta/nowe-44m2-dobra-lokalizacja-nowa-cena-ID4qY4v,Opole,ul. Szałwiowa ,Gosławice
M3 trzypokojowe mieszkanie Zaodrze 59m2 wysoki standard,585000,59.38,3,https://www.otodom.pl/pl/oferta/m3-trzypokojowe-mieszkanie-zaodrze-59m2-wysoki-standard-ID4viPm,Opole,ul. Szymona Koszyka ,Zaodrze
"Nowe budownictwo, ogródek, pompa ciepła",759000,94,4,https://www.otodom.pl/pl/oferta/nowe-budownictwo-ogrodek-pompa-ciepla-ID4vCvj,Opole,ul. Krzanowicka ,Krzanowice
Nowe mieszkanie |ogródek|taras|2 miejsca postojowe,765000,62.5,3,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-ogrodek-taras-2-miejsca-postojowe-ID4uFXJ,Opole,ul. Wincentego Hlouszka ,Stare Miasto
Sprzedaż nowego Mieszkania Inwestycyjnego w Opolu/ K. Sosnkowskiego,330000,20,1,https://www.otodom.pl/pl/oferta/sprzedaz-nowego-mieszkania-inwestycyjnego-w-opolu-k-sosnkowskiego-ID4vrdT,Opole,ul. Kazimierza Sosnkowskiego ,Armii Krajowej
Zadbane z balkonem gotowe do wprowadzenia,670000,55.92,3,https://www.otodom.pl/pl/oferta/zadbane-z-balkonem-gotowe-do-wprowadzenia-ID4woNY,Opole,no address,Stare Miasto
3 pokojowe 61 m2 dzielnica Zwm,699000,61,3,https://www.otodom.pl/pl/oferta/3-pokojowe-61-m2-dzielnica-zwm-ID4x29C,Opole,no address,Armii Krajowej
"Mieszkanie 2 pokoje 47,5 m Zaodrze",399000,47.5,2,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-47-5-m-zaodrze-ID4x201,Opole,ul. Zwycięstwa ,Zaodrze
Apartament 3 pok /ogródek/2m. postojowe w cenie!,749000,64,3,https://www.otodom.pl/pl/oferta/apartament-3-pok-ogrodek-2m-postojowe-w-cenie-ID4vAM9,Opole,no address,Stare Miasto
Mieszkanie w Opolu przy promenadzie,450000,49.08,3,https://www.otodom.pl/pl/oferta/mieszkanie-w-opolu-przy-promenadzie-ID4smPg,Opole,ul. Leona Powolnego ,Stare Miasto
3 pok. centrum Opola Parter Stan deweloperski,499000,51.06,3,https://www.otodom.pl/pl/oferta/3-pok-centrum-opola-parter-stan-deweloperski-ID4x1PJ,Opole,no address,Śródmieście
"1-piętro, ogródek, zadbana kamienica",329000,47.82,2,https://www.otodom.pl/pl/oferta/1-pietro-ogrodek-zadbana-kamienica-ID4pndU,Opole,ul. ks. Józefa Londzina ,Nowa Wieś Królewska
"Wysoki standard, atrakcyjna lokalizacja!",599000,52.2,2,https://www.otodom.pl/pl/oferta/wysoki-standard-atrakcyjna-lokalizacja-ID4wb3f,Opole,ul. Józefa Hallera ,Zaodrze
"Centrum, 3-pokoje, zadbana kamienica",619000,82.9,3,https://www.otodom.pl/pl/oferta/centrum-3-pokoje-zadbana-kamienica-ID4wGAm,Opole,ul. Katowicka ,Śródmieście
Trzy pokoje z dużym balkonem,469000,64,3,https://www.otodom.pl/pl/oferta/trzy-pokoje-z-duzym-balkonem-ID4vuWD,Opole,"ul. Jana Bytnara ""Rudego"" ",Armii Krajowej
"Zamieszkaj wygodnie! 3 pokoje z balkonem, po remoncie – Opole, ZWM",589000,61.2,3,https://www.otodom.pl/pl/oferta/zamieszkaj-wygodnie-3-pokoje-z-balkonem-po-remoncie-opole-zwm-ID4vAlr,Opole,ul. Szarych Szeregów ,Armii Krajowej
Mieszkanie 2 pokoje z balkonem ZWM Fieldorfa,499000,50,2,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-z-balkonem-zwm-fieldorfa-ID4x1AE,Opole,ul. Emila Fieldorfa ,Armii Krajowej
Mieszkanie w nowym budownictwie,495000,48.06,2,https://www.otodom.pl/pl/oferta/mieszkanie-w-nowym-budownictwie-ID4vdse,Opole,ul. Władysława Jagiełły ,Czarnowąsy
"Bezpośrednio 3 pokojowe z balkonem, klimatyzacją i ogródkiem",669000,60,3,https://www.otodom.pl/pl/oferta/bezposrednio-3-pokojowe-z-balkonem-klimatyzacja-i-ogrodkiem-ID4x1lT,Opole,no address,Grudzice
4 pokoje nowe budownictwo,670000,69.29,4,https://www.otodom.pl/pl/oferta/4-pokoje-nowe-budownictwo-ID4wrQp,Opole,no address,Stare Miasto
Szczepanowice - dom w zabudowie szeregowej,777602,94.76,4,https://www.otodom.pl/pl/oferta/szczepanowice-dom-w-zabudowie-szeregowej-ID4x1fs,Opole,ul. Józefa Barona ,Szczepanowice - Wójtowa Wieś
"Nowa cena - trzypokojowe, stan deweloperski",616000,60.81,3,https://www.otodom.pl/pl/oferta/nowa-cena-trzypokojowe-stan-deweloperski-ID4ud2J,Opole,ul. Stawowa ,Szczepanowice - Wójtowa Wieś
Wyjątkowe mieszkanie┃4-pok┃Centrum┃klimatyzacja,780000,120.62,4,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie4-pokcentrumklimatyzacja-ID4x0Ye,Opole,ul. ks. Hugona Kołłątaja ,Stare Miasto
"Słoneczne, trzypokojowe mieszkanie",565000,61,3,https://www.otodom.pl/pl/oferta/sloneczne-trzypokojowe-mieszkanie-ID4x0Up,Opole,no address,Armii Krajowej
"Mieszkanie 3-pok; 50.2 m2, Szarych Szeregów, Opole",389000,50.2,3,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-50-2-m2-szarych-szeregow-opole-ID4wPJE,Opole,ul. Szarych Szeregów ,Armii Krajowej
Mieszkanie z balkonem na  parterze – Malinka,599000,49.5,2,https://www.otodom.pl/pl/oferta/mieszkanie-z-balkonem-na-parterze-malinka-ID4x0Bx,Opole,ul. Piotrkowska ,Malinka
"Wykończone mieszkanie z balkonem – bezczynszowe,",730000,53.96,2,https://www.otodom.pl/pl/oferta/wykonczone-mieszkanie-z-balkonem-bezczynszowe-ID4x0B2,Opole,ul. Jodłowa ,Kolonia Gosławicka
"Bezczynszowe, gotowe do zamieszkania z tarasem",680000,50.83,2,https://www.otodom.pl/pl/oferta/bezczynszowe-gotowe-do-zamieszkania-z-tarasem-ID4x0AP,Opole,ul. Jodłowa ,Kolonia Gosławicka
