title,price,area,rooms,url,city,address,district
"Nowe Mieszkanie Jar, 33 m2, 2 pok., 2 p., balkon, m.postojowe, piwnica",405000,32.76,2,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-jar-33-m2-2-pok-2-p-balkon-m-postojowe-piwnica-ID4vRM1,Toruń,ul. Łukasza Watzenrodego ,Wrzosy
"Mieszkanie 82,3m2 z ogródkiem w cenie garaż i komórka lokatorska",899000,82.3,4,https://www.otodom.pl/pl/oferta/mieszkanie-82-3m2-z-ogrodkiem-w-cenie-garaz-i-komorka-lokatorska-ID4v8nw,Toruń,ul. Juliana Fałata ,Bydgoskie Przedmieście
Jar - mieszkanie z garażem - sprzedaż,405000,32.76,2,https://www.otodom.pl/pl/oferta/jar-mieszkanie-z-garazem-sprzedaz-ID4vhCP,Toruń,ul. Łukasza Watzenrodego ,Wrzosy
"Sprzedam bezpośr. mieszkanie, garaż i wydzielony ogródek w super cenie",329000,50,2,https://www.otodom.pl/pl/oferta/sprzedam-bezposr-mieszkanie-garaz-i-wydzielony-ogrodek-w-super-cenie-ID4vRab,Toruń,ul. Łódzka ,Stawki
dwupokojowe słoneczne widok taras Winnica,797700,50.59,2,https://www.otodom.pl/pl/oferta/dwupokojowe-sloneczne-widok-taras-winnica-ID4sVGi,Toruń,no address,Winnica
Osiedle Letnia 2 | mieszkanie 3-pok. | 72_10,535388,62.11,3,https://www.otodom.pl/pl/oferta/osiedle-letnia-2-mieszkanie-3-pok-72-10-ID4oVql,Toruń,no address,Podgórz
Lokalizacja! Bliskość Umk i Starówki !,420000,48,3,https://www.otodom.pl/pl/oferta/lokalizacja-bliskosc-umk-i-starowki-ID4vUo5,Toruń,no address,Bydgoskie Przedmieście
Murapol Novo,no price,,unknown number of rooms,https://www.otodom.pl/pl/oferta/murapol-novo-ID4vFLz,Toruń,ul. Droga Trzeposka ,Jakubskie Przedmieście
"Kozacka, cegła, 1. piętro, 2-pok , balkon, piwnica",430000,46.2,2,https://www.otodom.pl/pl/oferta/kozacka-cegla-1-pietro-2-pok-balkon-piwnica-ID4wQGY,Toruń,ul. Kozacka ,Koniuchy
3 pokojowe w zielonej części rubinkowa,490000,57.9,3,https://www.otodom.pl/pl/oferta/3-pokojowe-w-zielonej-czesci-rubinkowa-ID4wXSn,Toruń,ul. Kasztanowa ,Rubinkowo
